Words missing example sentence (example_ro is empty)
Batch: 1
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
1|3201|现象|fenomen|fenomEn|s.n.: fenomene|Philosophy||
2|3202|绝对|absolut|absolUt|adj: absolută / absoluti / absolute|Philosophy||
3|3205|规律|principiu|princIpiu|s.n.: principii|Philosophy||
4|3207|无限|infinit|infinIt|adj: infinită / infiniti / infinite|Philosophy||
5|3208|有限|finit|finIt|adj: finită / finiți / finite|Philosophy||
6|3209|目的|scop|scOp|s.n.: scopuri|Philosophy||
7|3210|判断|judecată|judecAtă|s.f.: judecăți|Philosophy||
8|3211|认识论|epistemologie|epistemologIe|s.f.: epistemologii|Philosophy||
9|3212|形而上学|metafizică|metafIzică|s.f.: (fără plural)|Philosophy||
10|3213|怀疑论|scepticism|scepticIsm|s.n.: (fără plural)|Philosophy||
11|3214|唯物主义|materialism|materialIsm|s.n.: (fără plural)|Philosophy||
12|3215|股票|acțiune|acțiUne|s.f.: acțiuni|Economics||
13|3216|债务|datorie|datorIe|s.f.: datorii|Economics||
14|3217|贸易|comerț|comErț|s.n.: (fără plural)|Economics||
15|3218|货币|monedă|monEdă|s.f.: monede|Economics||
16|3219|竞争|concurență|concurEnță|s.f.: concurențe|Economics||
17|3220|垄断|monopol|monopOl|s.n.: monopoluri|Economics||
18|3223|储蓄|economii|economII|s.f.pl.: economii|Economics||
19|3224|利率|dobândă|dobÂndă|s.f.: dobânzi|Economics||
20|3225|破产|faliment|falimEnt|s.n.: falimente|Economics||
21|3226|经济危机|criză|crIză|s.f.: crize|Economics||
22|3227|财富|avere|avEre|s.f.: averi|Economics||
23|3228|保险|asigurare|asigurAre|s.f.: asigurări|Economics||
24|3229|公民|cetățean|cetățEan|s.m.: cetățeni|Law||
25|3230|法庭|curte|cUrte|s.f.: curți|Law||
26|3232|陈述|declarație|declarAție|s.f.: declarații|Law||
27|3233|监狱|închisoare|închisOare|s.f.: închisori|Law||
28|3234|罚款|amendă|amEndă|s.f.: amenzi|Law||
29|3235|遗嘱|testament|testamEnt|s.n.: testamente|Law||
30|3236|财产|proprietate|proprietAte|s.f.: proprietăți|Law||
31|3237|诉讼|proces|procEs|s.n.: procese|Law||
32|3238|原告|reclamant|reclamAnt|s.m.: reclamanți|Law||
33|3239|被告|pârât|pârÂt|s.m.: pârâți|Law||
34|3241|立法|legislație|legislAție|s.f.: legislații|Law||
35|3242|司法|justiție|justIție|s.f.: (fără plural)|Law||
36|3243|幼儿园|grădiniță|grădinIță|s.f.: grădinițe|Education||
37|3244|小学|școală primară|șcOală primAră|s.f.: școli primare|Education||
38|3245|中学|liceu|licEu|s.n.: licee|Education||
39|3246|学费|taxă școlară|tAxă școlAră|s.f.: taxe școlare|Education||
40|3248|笔记本|caiet|caIet|s.n.: caiete|Education||
41|3249|成绩|notă|nOtă|s.f.: note|Education||
42|3250|毕业|absolvire|absolvIre|s.f.: absolviri|Education||
43|3251|入学|admitere|admItere|s.f.: admiteri|Education||
44|3252|奖状|diplomă|diplOmă|s.f.: diplome|Education||
45|3253|学期|semestru|semEstru|s.n.: semestre|Education||
46|3254|课表|orar|orAr|s.n.: orare|Education||
47|3255|黑板|tablă|tAblă|s.f.: table|Education||
48|3256|校长|director|dirEctor|s.m.: directori|Education||
49|3257|神话|mit|mIt|s.n.: mituri|Literature||
50|3258|传说|legendă|legEndă|s.f.: legende|Literature||
51|3259|语言|limbă|lImbă|s.f.: limbi|Literature||
52|3260|词语|cuvânt|cuvÂnt|s.m.: cuvinte|Literature||
53|3261|风格|stil|stIl|s.n.: stiluri|Literature||
54|3262|叙事|narațiune|narațiUne|s.f.: narațiuni|Literature||
55|3263|悲剧|tragedie|tragedIe|s.f.: tragedii|Literature||
56|3264|喜剧|comedie|comEdie|s.f.: comedii|Literature||
57|3266|象征|simbol|simbOl|s.n.: simboluri|Literature||
58|3268|文学批评|critică literară|crItică literAră|s.f.: critici literare|Literature||
59|3269|修辞|retorică|retOrică|s.f.: retorice|Literature||
60|3270|典故|aluzie|alUzie|s.f.: aluzii|Literature||
61|3271|古代|antichitate|antichitAte|s.f.: antichități|History||
62|3272|中世纪|Ev Mediu|Ev mEdiu|s.n.: (fără plural)|History||
63|3273|近代|epocă modernă|Epocă modErnă|s.f.: epoci moderne|History||
64|3274|年代|epocă|Epocă|s.f.: epoci|History||
65|3275|发现|descoperire|descoperIre|s.f.: descoperiri|History||
66|3276|征服|cucerire|cucerIre|s.f.: cuceriri|History||
