Words missing example sentence (example_ro is empty)
Batch: 5
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
2001|5622|大蒜|usturoi|usturOi|s.m.: usturoi|Agriculture||
2002|5623|胡萝卜|morcov|mOrcov|s.m.: morcovi|Agriculture||
2003|5624|辣椒|ardei|ardEi|s.m.: ardei|Agriculture||
2004|5625|南瓜|dovleac|dovlEac|s.m.: dovleci|Agriculture||
2005|5626|菠菜|spanac|spanAc|s.n.: (fără plural)|Agriculture||
2006|5627|莴苣|salată verde|salAtă vErde|s.f.: salate verzi|Agriculture||
2007|5628|豆子|fasole|fasOle|s.f.: fasole|Agriculture||
2008|5629|豌豆|mazăre|mazAre|s.f.: (fără plural)|Agriculture||
2009|5631|向日葵|floarea-soarelui|flOarea-sOarelui|s.f.: flori-soarelui|Agriculture||
2010|5632|草莓|căpșună|căpșUnă|s.f.: căpșuni|Agriculture||
2011|5634|诊所|cabinet medical|cabinEt medicAl|s.n.: cabinete medicale|Medicine||
2012|5636|候诊室|sala de așteptare|sAla de așteptAre|s.f.: săli de așteptare|Medicine||
2013|5637|挂号|programare|programAre|s.f.: programări|Medicine||
2014|5638|检查|consultație|consultAție|s.f.: consultații|Medicine||
2015|5639|治疗|tratament|tratamEnt|s.n.: tratamente|Medicine||
2016|5640|手术室|sală de operații|sAlă de operAții|s.f.: săli de operații|Medicine||
2017|5642|血液检查|analiză de sânge|analIză de sÂnge|s.f.: analize de sânge|Medicine||
2018|5643|X光|radiografie|radiografIe|s.f.: radiografii|Medicine||
2019|5644|超声波|ecografie|ecografIe|s.f.: ecografii|Medicine||
2020|5646|缝合|sutură|sutUră|s.f.: suturi|Medicine||
2021|5647|石膏|ghips|ghIps|s.n.: ghipsuri|Medicine||
2022|5648|保卫|a apăra|a apărA|verb: conj. I (apăr/aperi/apără)|Military Science||
2023|5649|攻击|a ataca|a atacA|verb: conj. I (atac/ataci/atacă)|Military Science||
2024|5650|撤退|a se retrage|a se retrAge|verb: conj. III (mă retrag/te retragi/se retrage)|Military Science||
2025|5651|保护|a proteja|a protejA|verb: conj. I (protejez/protejezi/protejează)|Military Science||
2026|5652|战斗|a lupta|a luptA|verb: conj. I (lupt/lupți/luptă)|Military Science||
2027|5653|守卫|a păzi|a păzI|verb: conj. IV (păzesc/păzești/păzește)|Military Science||
2028|5654|侦察|a recunoaște|a recunoAște|verb: conj. III (recunosc/recunoști/recunoaște)|Military Science||
2029|5655|行军|a mărșălui|a mărșăluI|verb: conj. IV (mărșăluiesc/mărșăluiești/mărșăluiește)|Military Science||
2030|5656|投降|a se preda|a se predA|verb: conj. I (mă predau/te predai/se predă)|Military Science||
2031|5657|逃跑|a fugi|a fugI|verb: conj. IV (fug/fugi/fuge)|Military Science||
2032|5658|枪|pușcă|pUșcă|s.f.: pușcă|Military Science||
2033|5659|刀|cuțit|cuțIt|s.n.: cuțite|Military Science||
2034|5660|大炮|tun|tUn|s.n.: tunuri|Military Science||
2035|5663|打招呼|a saluta|a salutA|verb: conj. I (salut/saluți/salută)|Management||
2036|5664|介绍|a prezenta|a prezentA|verb: conj. I (prezint/prezinți/prezintă)|Management||
2037|5666|解释|a explica|a explicA|verb: conj. I (explic/explici/explică)|Management||
2038|5667|提问|a pune întrebări|a pUne întrebAri|verb: conj. III (pun/pui/pune)|Management||
2039|5668|回答|a răspunde|a răspUnde|verb: conj. III (răspund/răspunzi/răspunde)|Management||
2040|5669|同意|a fi de acord|a fI de acOrd|verb: conj. nreg. (sunt/ești/este de acord)|Management||
2041|5670|拒绝|a refuza|a refuzA|verb: conj. I (refuz/refuzi/refuză)|Management||
2042|5672|推迟|a amâna|a amânA|verb: conj. I (amân/amâni/amână)|Management||
2043|5674|完成|a finaliza|a finalizA|verb: conj. I (finalizez/finalizezi/finalizează)|Management||
2044|5675|开始|a începe|a începE|verb: conj. III (încep/începi/începe)|Management||
2045|5676|继续|a continua|a continuA|verb: conj. I (continui/continui/continuă)|Management||
2046|5677|停止|a opri|a oprI|verb: conj. IV (opresc/oprești/oprește)|Management||
2047|5678|唱歌|a cânta|a cântA|verb: conj. I (cânt/cânți/cântă)|Art||
2048|5679|跳舞|a dansa|a dansA|verb: conj. I (dansez/dansezi/dansează)|Art||
2049|5680|画画|a desena|a desenA|verb: conj. I (desenez/desenezi/desenează)|Art||
2050|5681|拍照|a fotografia|a fotografiA|verb: conj. I (fotografiez/fotografiezi/fotografiază)|Art||
2051|5682|演奏|a cânta la instrument|a cântA la instrumEnt|verb: conj. I (cânt/cânți/cântă)|Art||
2052|5683|表演|a activa|a activA|verb: conj. I (activez/ activezi/ activează )|Art||
2053|5684|写作|a scrie|a scrIe|verb: conj. III (scriu/scrii/scrie)|Art||
2054|5685|雕刻|a sculpta|a sculptA|verb: conj. I (sculptez/sculptezi/sculptează)|Art||
2055|5686|编织|a tricota|a tricotA|verb: conj. I (tricotez/tricotezi/tricotează)|Art||
2056|5687|设计|a proiecta|a proiectA|verb: conj. I (proiectez/proiectezi/proiectează)|Art||
2057|5689|画框|ramă|rAmă|s.f.: rame|Art||
2058|5690|音符|notă muzicală|nOtă muzicAlă|s.f.: note muzicale|Art||
2059|5693|天气|vreme|vrEme|s.f.: (fără plural)|Daily Life||
2060|5694|晴天|timp frumos|tImp frumOs|s.n.: (fără plural)|Daily Life||
2061|5695|阴天|timp noros|tImp noros|s.n.: (fără plural)|Daily Life||
2062|5698|刮风|a bate vântul|a bAte vÂntul|verb: conj. III (bate - impersonal)|Daily Life||
2063|5699|打雷|a tuna|a tunA|verb: conj. I (tună - impersonal)|Daily Life||
2064|5700|闪电|fulger|fUlger|s.n.: fulgere|Daily Life||
2065|5701|彩虹|curcubeu|curcubEu|s.n.: curcubeie|Daily Life||
2066|5702|雾|ceață|cEață|s.f.: cețuri|Daily Life||
2067|5703|霜|brumă|brUmă|s.f.: brume|Daily Life||
2068|5704|冰|gheață|ghEață|s.f.: ghețuri|Daily Life||
2069|5708|暖和|călduros|căldurOs|adj: călduroasă / călduroși / călduroase|Daily Life||
2070|5709|潮湿|umed|Umed|adj: umedă / umezi / umede|Daily Life||
2071|5710|干燥|uscat|uscAt|adj: uscată / uscați / uscate|Daily Life||
2072|5711|预报|prognoză|prognOză|s.f.: prognoze|Daily Life||
2073|5712|季节|anotimp|anotImp|s.n.: anotimpuri|Daily Life||
2074|5713|春天|primăvară|primăvAră|s.f.: primăveri|Daily Life||
2075|5714|夏天|vară|vAră|s.f.: veri|Daily Life||
2076|5715|秋天|toamnă|tOamnă|s.f.: toamne|Daily Life||
2077|5716|冬天|iarnă|iArnă|s.f.: ierni|Daily Life||
2078|5717|方向|direcție|dirEcție|s.f.: direcții|Daily Life||
2079|5718|北|nord|nOrd|s.n.: (fără plural)|Daily Life||
2080|5719|南|sud|sUd|s.n.: (fără plural)|Daily Life||
2081|5720|东|est|Est|s.n.: (fără plural)|Daily Life||
2082|5721|西|vest|vEst|s.n.: (fără plural)|Daily Life||
2083|5722|直走|înainte|înAinte|adverb|adverb||
2084|5723|左转|la stânga|la stÂnga|adverb|adverb||
2085|5724|右转|la dreapta|la drEapta|adverb|adverb||
2086|5726|路口|intersecție|intersEcție|s.f.: intersecții|Daily Life||
2087|5727|人行道|trotuar|trotuAr|s.n.: trotuare|Daily Life||
2088|5960|好奇心|curiozitate|curiozitAte|s.f.: curiozități|Philosophy||
2089|5961|惊讶|surpriză|surprIză|s.f.: surprize|Philosophy||
2090|5962|疑问|îndoială|îndoIală|s.f.: îndoieli|Philosophy||
2091|5963|清楚|claritate|claritAte|s.f.: clarități|Philosophy||
2092|5964|混乱|confuzie|confUzie|s.f.: confuzii|Philosophy||
2093|5965|简单|simplitate|simplitAte|s.f.: simplicități|Philosophy||
2094|5966|复杂|complexitate|complexitAte|s.f.: complexități|Philosophy||
2095|5967|重要性|importanță|importAnță|s.f.: importanțe|Philosophy||
2096|5968|意义|sens|sEns|s.n.: sensuri|Philosophy||
2097|5970|原因|motiv|motIv|s.n.: motive|Philosophy||
2098|5976|奖金|bonus|bOnus|s.n.: bonusuri|Economics||
2099|5980|水电费|utilități|utilitAți|s.f.pl.: utilități|Economics||
2100|5981|网费|abonament internet|abonamEnt internEt|s.n.: abonamente internet|Economics||
2101|5982|电话费|abonament telefonic|abonAmEnt telefOnic|s.n.: abonamente telefonice|Economics||
2102|5987|花费|cheltuieli|cheltuIeli|s.f.pl.: cheltuieli|Economics||
2103|5992|警察局|secție de poliție|sEcție de polIție|s.f.: secții de poliție|Law||
2104|5996|证明文件|act doveditor|Act doveditOr|s.n.: acte doveditoare|Law||
2105|5997|身份|identitate|identitAte|s.f.: identități|Law||
2106|5998|国籍|naționalitate|naționalitAte|s.f.: naționalități|Law||
2107|5999|居住地|domiciliu|domicIliu|s.n.: domicilii|Law||
2108|6000|出生证明|certificat de naștere|certificAt de nAștere|s.n.: certificate de naștere|Law||
2109|6001|结婚证|certificat de căsătorie|certificAt de căsătorIe|s.n.: certificate de căsătorie|Law||
2110|6002|离婚证|certificat de divorț|certificAt de divOrț|s.n.: certificate de divorț|Law||
2111|6005|入学注册|înscriere la școală|înscrIere la șcOală|s.f.: înscrieri la școală|Education||
2112|6006|学年|an școlar|An școlAr|s.n.: ani școlari|Education||
2113|6010|上课|a face ore|a fAce Ore|verb: conj. III (fac/faci/face)|Education||
2114|6011|下课|a termina orele|a terminA Orele|verb: conj. I (termin/termini/termină)|Education||
2115|6012|上学|a merge la școală|a mErge la șcOală|verb: conj. III (merg/mergi/merge)|Education||
2116|6013|放学|a termina școala|a terminA șcOala|verb: conj. I (termin/termini/termină)|Education||
2117|6014|缺课|a absenta|a absentA|verb: conj. I (absentez/absentezi/absentează)|Education||
2118|6015|请假|a cere învoire|a cEre învoIre|verb: conj. III (cer/ceri/cere)|Education||
2119|6016|迟到|a întârzia|a întârziA|verb: conj. I (întârzii/întârzii/întârzie)|Education||
2120|6017|交作业|a preda tema|a predA tEma|verb: conj. I (predau/predai/predă)|Education||
2121|6018|抄作业|a copia tema|a copiA tEma|verb: conj. I (copiez/copiezi/copiază)|Education||
2122|6019|复习|a recapitula|a recapitulA|verb: conj. I (recapitulez/recapitulezi/recapitulează)|Education||
2123|6020|读书|a citi o carte|a citI o cArte|verb: conj. IV (citesc/citești/citește)|Literature||
2124|6021|借书|a împrumuta o carte|a împrumutA o cArte|verb: conj. I (împrumut/împrumuți/împrumută)|Literature||
2125|6022|还书|a returna o carte|a returnA o cArte|verb: conj. I (returnez/returnezi/returnează)|Literature||
2126|6023|推荐书|a recomanda o carte|a recomandA o cArte|verb: conj. I (recomand/recomanzi/recomandă)|Literature||
2127|6024|写故事|a scrie o poveste|a scrIe o povEste|verb: conj. III (scriu/scrii/scrie)|Literature||
2128|6025|讲故事|a povesti|a povestI|verb: conj. IV (povestesc/povestești/povestește)|Literature||
2129|6026|读诗|a citi poezie|a citI poezIe|verb: conj. IV (citesc/citești/citește)|Literature||
2130|6027|背诗|a memora o poezie|a memorA o poezIe|verb: conj. I (memorez/memorezi/memorează)|Literature||
2131|6028|理解故事|a înțelege povestea|a înțelEge povEstea|verb: conj. III (înțeleg/înțelegi/înțelege)|Literature||
2132|6029|描写人物|a descrie un personaj|a descriE un personAj|verb: conj. III (descriu/descrii/descrie)|Literature||
2133|6030|剧情|fir narativ|fIr naratIv|s.n.: fire narative|Literature||
2134|6031|主人公|protagonist|protagonIst|s.m.: protagoniști|Literature||
2135|6032|配角|personaj secundar|personAj secundAr|s.n.: personaje secundare|Literature||
2136|6034|结尾|sfârșit|sfÂrșit|s.n.: sfârșituri|Literature||
2137|6035|出生|naștere|nAștere|s.f.: nașteri|History||
2138|6036|死亡|moarte|mOarte|s.f.: morți|History||
2139|6038|家庭|familie|famIlIe|s.f.: familii|History||
2140|6039|祖先|strămoș|strAmOș|s.m.: strămoși|History||
2141|6040|后代|urmași|urmAși|s.m.pl.: urmași|History||
2142|6042|故乡|locul natal|locUl natAl|s.n.: locuri natale|History||
2143|6043|移民|emigrant|emigrAnt|s.m.: emigranți|History||
2144|6044|难民|refugiat|refugiAt|s.m.: refugiați|History||
2145|6046|探险家|explorator|exploratOr|s.m.: exploratori|History||
2146|6047|发明家|inventator|inventatOr|s.m.: inventatori|History||
2147|6048|科学家|om de știință|Om de știInță|s.m.: oameni de știință|History||
2148|6049|艺术家|artist|artIst|s.m.: artiști|History||
2149|6050|太阳系|sistemul solar|sistEmul solAr|s.n.: (fără plural)|Science||
2150|6051|行星|planetă|planEtă|s.f.: planete|Science||
2151|6053|彗星|cometă|comEtă|s.f.: comete|Science||
2152|6054|流星|meteorit|meteoriT|s.m.: meteoriti|Science||
2153|6056|大气层|atmosferă|atmosfEră|s.f.: atmosfere|Science||
2154|6057|氧气|oxigen|oxigEn|s.n.: (fără plural)|Science||
2155|6058|二氧化碳|dioxid de carbon|dioxId de cArbon|s.n.: (fără plural)|Science||
2156|6059|氢气|hidrogen|hidrogEn|s.n.: (fără plural)|Science||
2157|6060|氮气|azot|azOt|s.n.: (fără plural)|Science||
2158|6061|水蒸气|vapori de apă|vapOri de Apă|s.m.pl.: vapori de apă|Science||
2159|6062|沸点|punct de fierbere|pUnct de fiErbere|s.n.: puncte de fierbere|Science||
2160|6063|冰点|punct de îngheț|pUnct de înghEț|s.n.: puncte de îngheț|Science||
2161|6064|化学反应|reacție chimică|reAcție chimică|s.f.: reacții chimice|Science||
2162|6066|客厅|sufragerie|sufraerIe|s.f.: sufragerii|Engineering||
2163|6067|卧室|dormitor|dormitOr|s.n.: dormitoare|Engineering||
2164|6069|厕所|toaletă|toAletă|s.f.: toalete|Engineering||
2165|6070|水管|conductă de apă|condUctă de Apă|s.f.: conducte de apă|Engineering||
2166|6071|水龙头|robinet|robinEt|s.n.: robinete|Engineering||
2167|6073|洗碗机|mașină de spălat vase|mașInă de spălAt vAse|s.f.: mașini de spălat vase|Engineering||
2168|6074|烤箱|cuptor|cuptOr|s.n.: cuptoare|Engineering||
2169|6075|炉子|aragaz|aragAz|s.n.: aragazuri|Engineering||
2170|6078|吸尘器|aspirator|aspiratOr|s.n.: aspiratoare|Engineering||
2171|6080|西瓜|pepene verde|pepEne vErde|s.m.: pepeni verzi|Agriculture||
2172|6081|甜瓜|pepene galben|pepEne gAlben|s.m.: pepeni galbeni|Agriculture||
2173|6082|梨|pară|pAră|s.f.: pere|Agriculture||
2174|6083|桃子|piersică|piErsică|s.f.: piersici|Agriculture||
2175|6084|李子|prună|prUnă|s.f.: prune|Agriculture||
2176|6085|樱桃|cireașă|cirEașă|s.f.: cireșe|Agriculture||
2177|6086|杏子|caisă|cAisă|s.f.: caise|Agriculture||
2178|6087|蓝莓|afină|afInă|s.f.: afine|Agriculture||
2179|6088|覆盆子|zmeură|zmEură|s.f.: zmeure|Agriculture||
2180|6089|橙子|portocală|portocAlă|s.f.: portocale|Agriculture||
2181|6090|柠檬|lămâie|lămÂie|s.f.: lămâi|Agriculture||
2182|6092|菠萝|ananas|ananAs|s.m.: ananași|Agriculture||
2183|6093|芒果|mango|mAngo|s.n.: mangouri|Agriculture||
2184|6094|椰子|nucă de cocos|nUcă de cocOs|s.f.: nuci de cocos|Agriculture||
2185|6095|感冒|răceală|răceAlă|s.f.: răceli|Medicine||
2186|6096|流感|gripă|grIpă|s.f.: gripe|Medicine||
2187|6097|发烧|febră|fEbră|s.f.: febre|Medicine||
2188|6098|咳嗽|tuse|tUse|s.f.: tuse|Medicine||
2189|6099|打喷嚏|a strănuta|a strAnutA|verb: conj. I (strănut/strănutați/strănută)|Medicine||
2190|6100|流鼻涕|nas care curge|nAs cAre cUrge|s.n.: (fără plural)|Medicine||
2191|6101|喉咙痛|durere în gât|durEre în gÂt|s.f.: dureri în gât|Medicine||
2192|6102|耳朵痛|durere de urechi|durEre de urEchi|s.f.: dureri de urechi|Medicine||
2193|6103|眼睛痛|durere de ochi|durEre de Ochi|s.f.: dureri de ochi|Medicine||
2194|6104|腰疼|durere de spate|durEre de spAte|s.f.: dureri de spate|Medicine||
2195|6105|关节疼|durere de articulații|durEre de articulAții|s.f.: dureri de articulații|Medicine||
2196|6106|肌肉疼|durere musculară|durEre musculAră|s.f.: dureri musculare|Medicine||
2197|6107|消化不良|indigestie|indigestIe|s.f.: indigestii|Medicine||
2198|6108|晕车|rău de mișcare|rĂu de mișcAre|s.n.: (fără plural)|Medicine||
2199|6109|晒伤|arsură solară|arsUră solAră|s.f.: arsuri solare|Medicine||
2200|6110|训练|antrenament|antrenamEnt|s.n.: antrenamente|Military Science||
2201|6111|纪律|disciplină|discIplInă|s.f.: discipline|Military Science||
2202|6113|忠诚|loialitate|loialitAte|s.f.: loialități|Military Science||
2203|6117|军衔|grad|grAd|s.n.: grade|Military Science||
2204|6118|军营|cazarmă|cazArmă|s.f.: cazărmi|Military Science||
2205|6121|指南针|busolă|busOlă|s.f.: busole|Military Science||
2206|6122|无线电|radio|rAdio|s.n.: radiouri|Military Science||
2207|6123|信号|semnal|semnAl|s.n.: semnale|Military Science||
2208|6124|任务|misiune|misiUne|s.f.: misiuni|Military Science||
2209|6125|公司|companie|companIe|s.f.: companii|Management||
2210|6126|部门|departament|departamEnt|s.n.: departamente|Management||
2211|6130|工作时间|program de lucru|progrAm de lUcru|s.n.: programe de lucru|Management||
2212|6131|工作场所|loc de muncă|lOc de mUncă|s.n.: locuri de muncă|Management||
2213|6132|工资单|fluturaș de salariu|fluturAș de salAriu|s.n.: fluturași de salariu|Management||
2214|6133|面试|interviu|intervIu|s.n.: interviuri|Management||
2215|6134|申请工作|cerere de angajare|cErere de angajAre|s.f.: cereri de angajare|Management||
2216|6135|简历|curriculum vitae|currIculum vItae|s.n.: curriculum vitae|Management||
2217|6136|推荐信|scrisoare de recomandare|scrisoAre de recomandAre|s.f.: scrisori de recomandare|Management||
2218|6137|晋升|promovare|promovAre|s.f.: promovări|Management||
2219|6138|加薪|mărire de salariu|mărIre de salAriu|s.f.: măriri de salariu|Management||
2220|6139|辞职|demisie|demIsie|s.f.: demisii|Management||
2221|6140|音乐会|concert|concErt|s.n.: concerte|Art||
2222|6141|画展|expoziție de pictură|expozIție de pictUră|s.f.: expoziții de pictură|Art||
2223|6142|电影院|cinematograf|cinematogRAf|s.n.: cinematografe|Art||
2224|6149|音乐节|festival de muzică|festIvAl de mUzică|s.n.: festivaluri de muzică|Art||
2225|6150|电影节|festival de film|festIvAl de fIlm|s.n.: festivaluri de film|Art||
2226|6151|演唱会|recital|recitAl|s.n.: recitaluri|Art||
2227|6155|早上好|bună dimineața|bUnă dimineAța|expr.: (invariabil)|Daily Life||
2228|6156|下午好|bună ziua|bUnă zIua|expr.: (invariabil)|Daily Life||
2229|6157|晚上好|bună seara|bUnă sEara|expr.: (invariabil)|Daily Life||
2230|6158|晚安|noapte bună|nOapte bUnă|expr.: (invariabil)|Daily Life||
2231|6159|你好|bună|bUnă|expr.: (invariabil)|Daily Life||
2232|6160|再见|la revedere|la revedEre|expr.: (invariabil)|Daily Life||
2233|6161|谢谢|mulțumesc|mulțumEsc|verb: conj. IV|Daily Life||
2234|6162|不客气|cu plăcere|cu plăcEre|expr.: (invariabil)|Daily Life||
