Words missing example sentence (example_ro is empty)
Batch: 4
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
1501|5010|文化史|istorie culturală|istOrie culturAlă|s.f.: istorii culturale|History||
1502|5011|政治史|istorie politică|istOrie polItică|s.f.: istorii politice|History||
1503|5013|思想史|istoria ideilor|istorIa ideIlor|s.f.: (fără plural)|History||
1504|5014|性别史|istoria genului|istorIa gEnului|s.f.: (fără plural)|History||
1505|5015|环境史|istorie a mediului|istOrie a mEdiului|s.f.: istorii ale mediului|History||
1506|5016|殖民史|istorie colonială|istOrie colonIAlă|s.f.: istorii coloniale|History||
1507|5017|比较史学|istorie comparată|istOrie comparAtă|s.f.: istorii comparate|History||
1508|5018|全球史|istorie globală|istOrie globAlă|s.f.: istorii globale|History||
1509|5019|微观史|microistorie|microistOrie|s.f.: microistorii|History||
1510|5020|大历史|macroistorie|macroistOrie|s.f.: macroistoriI|History||
1511|5021|历史哲学家|filozof al istoriei|filOzof al istOriei|s.m.: filozofi ai istoriei|History||
1512|5022|历史学家|istoric|istOric|s.m.: istorici|History||
1513|5023|年代学|cronologie|cronologIe|s.f.: cronologii|History||
1514|5025|数学|matematică|matemAtică|s.f.: (fără plural)|Science||
1515|5026|代数|algebră|Algebră|s.f.: (fără plural)|Science||
1516|5027|几何学|geometrie|geometrIe|s.f.: (fără plural)|Science||
1517|5028|微积分|calcul diferențial și integral|cAlcul diferențiAl și integrAl|s.n.: (fără plural)|Science||
1518|5029|统计学|statistică|statIstică|s.f.: (fără plural)|Science||
1519|5030|概率论|teoria probabilităților|teorIa probabilItăților|s.f.: (fără plural)|Science||
1520|5031|数论|teoria numerelor|teorIa numerElor|s.f.: (fără plural)|Science||
1521|5032|拓扑学|topologie|topologIe|s.f.: (fără plural)|Science||
1522|5033|图论|teoria grafurilor|teorIa grAfurilor|s.f.: (fără plural)|Science||
1523|5034|密码学|criptografie|criptografIe|s.f.: (fără plural)|Science||
1524|5035|信息论|teoria informației|teorIa informAției|s.f.: (fără plural)|Science||
1525|5037|最优化|optimizare|optimizAre|s.f.: optimizări|Science||
1526|5038|线性代数|algebră liniară|Algebră liniAră|s.f.: (fără plural)|Science||
1527|5039|微分方程|ecuație diferențială|ecuAție diferențiAlă|s.f.: ecuații diferențiale|Science||
1528|5040|偏微分方程|ecuație cu derivate parțiale|ecuAție cu derivAte parțIAle|s.f.: ecuații cu derivate parțiale|Science||
1529|5041|傅里叶变换|transformata Fourier|transformAta fouriEr|s.f.: transformate Fourier|Science||
1530|5042|拉普拉斯变换|transformata Laplace|transformAta laplAce|s.f.: transformate Laplace|Science||
1531|5043|向量|vector|vEctor|s.m.: vectori|Science||
1532|5044|矩阵|matrice|mAtrIce|s.f.: matrici|Science||
1533|5045|张量|tensor|tensOr|s.m.: tensori|Science||
1534|5046|微分几何|geometrie diferențială|geometrIe diferențiAlă|s.f.: (fără plural)|Science||
1535|5047|代数几何|geometrie algebrică|geometrIe algebrică|s.f.: (fără plural)|Science||
1536|5048|数学证明|demonstrație matematică|demonstrAție matematică|s.f.: demonstrații matematice|Science||
1537|5049|公理|axiomă|axiOmă|s.f.: axiome|Science||
1538|5050|定理|teoremă|teorEmă|s.f.: teoreme|Science||
1539|5051|引理|lemă|lEmă|s.f.: leme|Science||
1540|5052|推论|corolar|corolAr|s.n.: corolare|Science||
1541|5054|猜想|conjectură|conjEctură|s.f.: conjecturi|Science||
1542|5055|哥德尔不完备定理|teorema incompletitudinii lui Gödel|teorEma incompletitUdinii lui gödEl|s.f.: (fără plural)|Science||
1543|5056|黎曼猜想|conjectura Riemann|conjEctura riemAnn|s.f.: (fără plural)|Science||
1544|5057|P对NP问题|problema P versus NP|problEma P vErsus NP|s.f.: (fără plural)|Science||
1545|5058|费马大定理|ultima teoremă a lui Fermat|Ultima teorEmă a lui fErmAt|s.f.: (fără plural)|Science||
1546|5059|庞加莱猜想|conjectura Poincaré|conjEctura poincarE|s.f.: (fără plural)|Science||
1547|5060|航天工程|inginerie aerospațială|inginerIe aerospațiAlă|s.f.: (fără plural)|Engineering||
1548|5061|火箭推进|propulsie prin rachetă|propulsiE prIn rachEtă|s.f.: propulsii prin rachetă|Engineering||
1549|5062|轨道力学|mecanică orbitală|mecAnică orbitAlă|s.f.: (fără plural)|Engineering||
1550|5063|空间站|stație spațială|stAție spațiAlă|s.f.: stații spațiale|Engineering||
1551|5064|月球探测|explorare lunară|explorAre lunAră|s.f.: explorări lunare|Engineering||
1552|5065|火星任务|misiune pe Marte|MisiUne pe mArte|s.f.: misiuni pe Marte|Engineering||
1553|5066|深空探测|explorare a spațiului profund|explorAre a spAțiului profUnd|s.f.: explorări ale spațiului profund|Engineering||
1554|5067|太空望远镜|telescop spațial|telescOp spațiAl|s.n.: telescoape spațiale|Engineering||
1555|5068|地球观测卫星|satelit de observare a Pământului|satelIt de observAre a pămÂntului|s.m.: sateliți de observare a Pământului|Engineering||
1556|5069|导航系统|sistem de navigație|sistEm de navigAție|s.n.: sisteme de navigație|Engineering||
1557|5070|全球定位系统|sistem de poziționare globală|sistEm de pozițIonare globAlă|s.n.: sisteme de poziționare globală|Engineering||
1558|5071|核聚变|fuziune nucleară|fuziUne nucleAră|s.f.: (fără plural)|Engineering||
1559|5072|托卡马克|tokamak|tokamAk|s.n.: tokamakuri|Engineering||
1560|5073|惯性约束|confinament inerțial|confinamEnt inerțiAl|s.n.: (fără plural)|Engineering||
1561|5074|磁约束|confinament magnetic|confinamEnt magnEtic|s.n.: (fără plural)|Engineering||
1562|5075|超导磁体|magnet supraconductor|magnEt supraconductOr|s.n.: magneți supraconductori|Engineering||
1563|5076|粒子加速器|accelerator de particule|acceleratOr de particUle|s.n.: acceleratoare de particule|Engineering||
1564|5077|同步辐射|radiație sincrotronică|radiAție sincrotronică|s.f.: radiații sincrotronice|Engineering||
1565|5078|自由电子激光|laser cu electroni liberi|lasEr cu electroni lIberi|s.n.: lasere cu electroni liberi|Engineering||
1566|5079|纳米制造|nanofabricare|nanofabricAre|s.f.: nanofabricări|Engineering||
1567|5080|原子力显微镜|microscop cu forță atomică|microscOp cu fOrță atomică|s.n.: microscoape cu forță atomică|Engineering||
1568|5081|扫描隧道显微镜|microscop cu efect tunel|microscOp cu efEct tunEl|s.n.: microscoape cu efect tunel|Engineering||
1569|5082|分子机器|mașină moleculară|mașInă moleculAră|s.f.: mașini moleculare|Engineering||
1570|5083|DNA计算|calcul pe bază de ADN|cAlcul pe bAză de A-D-N|s.n.: (fără plural)|Engineering||
1571|5084|量子通信|comunicare cuantică|comunicAre cuAntică|s.f.: comunicări cuantice|Engineering||
1572|5086|量子传感|senzori cuantici|sEnzori cuAntici|s.m.pl.: senzori cuantici|Engineering||
1573|5087|量子模拟|simulare cuantică|simulAre cuAntică|s.f.: simulări cuantice|Engineering||
1574|5088|拓扑量子计算|calcul cuantic topologic|cAlcul cuAntic topologIc|s.n.: (fără plural)|Engineering||
1575|5089|错误纠正码|cod de corecție a erorilor|cOd de corEcție a erOrilor|s.n.: coduri de corecție a erorilor|Engineering||
1576|5090|光子计算|calcul fotonic|cAlcul fotOnic|s.n.: (fără plural)|Engineering||
1577|5091|神经形态计算|calcul neuromorfic|cAlcul neuromorfIc|s.n.: (fără plural)|Engineering||
1578|5092|生物计算|calcul biologic|cAlcul biologIc|s.n.: (fără plural)|Engineering||
1579|5093|超级计算机|supercalculator|supercalculatOr|s.n.: supercalculatoare|Engineering||
1580|5094|边缘人工智能|inteligență artificială la margine|inteligEnță artificIAlă la mArgine|s.f.: (fără plural)|Engineering||
1581|5095|土地退化|degradare a terenului|degradAre a terEnului|s.f.: degradări ale terenului|Agriculture||
1582|5096|荒漠化|deșertificare|deșertificAre|s.f.: (fără plural)|Agriculture||
1583|5097|土壤侵蚀|eroziune a solului|eroziUne a sOlului|s.f.: eroziuni ale solului|Agriculture||
1584|5098|盐碱化|salinizare|salinizAre|s.f.: salinizări|Agriculture||
1585|5099|水资源短缺|deficit hidric|deficIt hIdric|s.n.: deficite hidrice|Agriculture||
1586|5100|干旱管理|managementul secetei|managemEntul secEtei|s.n.: (fără plural)|Agriculture||
1587|5101|洪涝管理|managementul inundațiilor|managemEntul inundAțiilor|s.n.: (fără plural)|Agriculture||
1588|5102|气候适应农业|agricultură adaptată la climă|agricultUră adaptAtă la clImă|s.f.: (fără plural)|Agriculture||
1589|5103|农业碳排放|emisii de carbon din agricultură|emIsii de cArbon din agricultUră|s.f.pl.: (fără plural)|Agriculture||
1590|5104|减排农业|agricultură cu emisii reduse|agricultUră cu emIsii redUse|s.f.: (fără plural)|Agriculture||
1591|5105|碳中和农业|agricultură neutră în carbon|agricultUră neUtră în cArbon|s.f.: (fără plural)|Agriculture||
1592|5106|生物多样性农业|agricultură pentru biodiversitate|agricultUră pentru biodiversitAte|s.f.: (fără plural)|Agriculture||
1593|5107|传粉者保护|protecția polenizatorilor|protEcția polenizatOrilor|s.f.: (fără plural)|Agriculture||
1594|5108|水生农业|acvacultură|acvaculTUră|s.f.: (fără plural)|Agriculture||
1595|5109|海藻养殖|algicultură|algiculTUră|s.f.: (fără plural)|Agriculture||
1596|5110|昆虫养殖|entomofagie|entomofagIe|s.f.: (fără plural)|Agriculture||
1597|5111|食用昆虫|insecte comestibile|insEcte comestIbile|s.f.pl.: insecte comestibile|Agriculture||
1598|5112|蛋白质替代|proteină alternativă|proteInă alternAtivă|s.f.: proteine alternative|Agriculture||
1599|5113|人造肉|carne cultivată|cArne cultivAtă|s.f.: (fără plural)|Agriculture||
1600|5114|植物基食品|aliment pe bază de plante|alimEnt pe bAză de plAnte|s.n.: alimente pe bază de plante|Agriculture||
1601|5115|发酵食品|aliment fermentat|alimEnt fermentAt|s.n.: alimente fermentate|Agriculture||
1602|5116|功能性食品|aliment funcțional|alimEnt funcționAl|s.n.: alimente funcționale|Agriculture||
1603|5117|营养强化食品|aliment îmbogățit cu nutrienți|alimEnt îmbogățIt cu nutriEnți|s.n.: alimente îmbogățite cu nutrienți|Agriculture||
1604|5118|食品浪费|risipă alimentară|rIsIpă alimentAră|s.f.: (fără plural)|Agriculture||
1605|5119|食品损失|pierderi alimentare|piErderi alimentAre|s.f.pl.: pierderi alimentare|Agriculture||
1606|5120|粮食体系|sistem alimentar|sistEm alimentAr|s.n.: sisteme alimentare|Agriculture||
1607|5121|食物主权|suveranitate alimentară|suveranitAte alimentAră|s.f.: (fără plural)|Agriculture||
1608|5122|粮食援助|ajutor alimentar|ajutOr alimentAr|s.n.: ajutoare alimentare|Agriculture||
1609|5123|营养不良|malnutriție|malnutriție|s.f.: malnutriții|Agriculture||
1610|5124|隐性饥饿|foame ascunsă|foAme ascUnsă|s.f.: (fără plural)|Agriculture||
1611|5125|肥胖症|obezitate|obezitAte|s.f.: obezități|Agriculture||
1612|5126|饮食多样化|diversificare alimentară|diversificAre alimentAră|s.f.: diversificări alimentare|Agriculture||
1613|5127|地中海饮食|dietă mediteraneană|diEtă mediteraneAnă|s.f.: diete mediteraneene|Agriculture||
1614|5128|生酮饮食|dietă ketogenică|diEtă cetogenică|s.f.: diete cetogenice|Agriculture||
