Words missing example sentence (example_ro is empty)
Batch: 2
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
501|3970|存在主义|existențialism|existențialIsm|s.n.: (fără plural)|Philosophy||
502|3971|虚无主义|nihilism|nihilIsm|s.n.: (fără plural)|Philosophy||
503|3972|结构主义|structuralism|structuralIsm|s.n.: (fără plural)|Philosophy||
504|3973|诠释学|hermeneutică|hermenEutică|s.f.: (fără plural)|Philosophy||
505|3974|现象学|fenomenologie|fenomenologIe|s.f.: (fără plural)|Philosophy||
506|3975|形式逻辑|logică formală|lOgică formAlă|s.f.: logici formale|Philosophy||
507|3976|命题|propoziție|propozIție|s.f.: propoziții|Philosophy||
508|3977|三段论|silogism|silogIsm|s.n.: silogisme|Philosophy||
509|3978|先验|a priori|a priOri|loc. adv.: (invariabil)|Philosophy||
510|3979|后验|a posteriori|a posteriOri|loc. adv.: (invariabil)|Philosophy||
511|3980|二元论|dualism|dualIsm|s.n.: (fără plural)|Philosophy||
512|3981|一元论|monism|monIsm|s.n.: (fără plural)|Philosophy||
513|3982|权力意志|voință de putere|voInță de putEre|s.f.: (fără plural)|Philosophy||
514|3983|宏观经济|macroeconomie|macroeconomIe|s.f.: (fără plural)|Economics||
515|3984|微观经济|microeconomie|microeconomIe|s.f.: (fără plural)|Economics||
516|3985|贸易逆差|deficit comercial|deficIt comerciAl|s.n.: deficite comerciale|Economics||
517|3986|贸易顺差|excedent comercial|excedEnt comerciAl|s.n.: excedente comerciale|Economics||
518|3987|自由市场|piață liberă|piAță lIberă|s.f.: piețe libere|Economics||
519|3988|计划经济|economie planificată|economIe planificAtă|s.f.: economii planificate|Economics||
520|3989|全球化|globalizare|globalizAre|s.f.: (fără plural)|Economics||
521|3990|私有化|privatizare|privatizAre|s.f.: privatizări|Economics||
522|3991|国有化|naționalizare|naționalizAre|s.f.: naționalizări|Economics||
523|3993|经济周期|ciclu economic|cIclu econOmic|s.n.: cicluri economice|Economics||
524|3994|劳动力|forță de muncă|fOrță de mUncă|s.f.: forțe de muncă|Economics||
525|3995|生产力|productivitate|productivitAte|s.f.: productivități|Economics||
526|3996|经济增长|creștere economică|crEștere econOmică|s.f.: creșteri economice|Economics||
527|3997|国际法|drept internațional|drEpt internaționAl|s.n.: (fără plural)|Law||
528|3998|人权|drepturi ale omului|drEpturi ale Omului|s.n.pl.: drepturi ale omului|Law||
529|3999|商法|drept comercial|drEpt comerciAl|s.n.: (fără plural)|Law||
530|4000|税法|drept fiscal|drEpt fiscAl|s.n.: (fără plural)|Law||
531|4001|行政法|drept administrativ|drEpt administratIv|s.n.: (fără plural)|Law||
532|4002|合法|legal|legAl|adj: legală / legali / legale|Law||
533|4004|判例|jurisprudență|jurisprudEnță|s.f.: jurisprudențe|Law||
534|4005|赦免|amnistie|amnistIe|s.f.: amnistii|Law||
535|4006|引渡|extrădare|extrădAre|s.f.: extrădări|Law||
536|4007|公诉|acuzare publică|acuzAre pUblică|s.f.: acuzări publice|Law||
537|4008|不起诉|neîncepere a urmăririi|neîncEpere a urmăririI|s.f.: (fără plural)|Law||
538|4009|侵权|prejudiciu|prejudIciu|s.n.: prejudicii|Law||
539|4010|损害赔偿|despăgubire|despăgubIre|s.f.: despăgubiri|Law||
540|4011|远程教育|educație la distanță|educAție la distAnță|s.f.: educații la distanță|Education||
541|4012|终身学习|învățare pe tot parcursul vieții|învățAre pe tot parcUrsul vIeții|s.f.: (fără plural)|Education||
542|4013|批判性思维|gândire critică|gândIre crItică|s.f.: gândiri critice|Education||
543|4014|教育心理学|psihologie educațională|psihologIe educaționAlă|s.f.: (fără plural)|Education||
544|4015|课外活动|activitate extracurriculară|activitAte extracurriculAră|s.f.: activități extracurriculare|Education||
545|4016|启发式教学|metodă euristică|metOdă eurIstică|s.f.: metode euristice|Education||
546|4017|教育改革|reformă educațională|refOrmă educaționAlă|s.f.: reforme educaționale|Education||
547|4018|双语教育|educație bilingvă|educAție bilIngvă|s.f.: educații bilingve|Education||
548|4019|特殊教育|educație specială|educAție specIAlă|s.f.: educații speciale|Education||
549|4020|教育政策|politică educațională|polItică educaționAlă|s.f.: politici educaționale|Education||
550|4021|学习障碍|dificultăți de învățare|dificultĂți de învățAre|s.f.pl.: dificultăți de învățare|Education||
551|4022|教育机构|instituție de învățământ|instituțIe de învățămÂnt|s.f.: instituții de învățământ|Education||
552|4023|奖学金委员会|comisie de burse|comIsie de bUrse|s.f.: comisii de burse|Education||
553|4024|成人教育|educație pentru adulți|educAție pentru adUlți|s.f.: educații pentru adulți|Education||
554|4025|文学运动|mișcare literară|mișcAre literAră|s.f.: mișcări literare|Literature||
555|4026|自然主义|naturalism|naturalIsm|s.n.: (fără plural)|Literature||
556|4027|现实主义|realism|realIsm|s.n.: (fără plural)|Literature||
557|4028|象征主义|simbolism|simbolIsm|s.n.: (fără plural)|Literature||
558|4029|现代主义|modernism|modernIsm|s.n.: (fără plural)|Literature||
559|4030|后现代主义|postmodernism|postmodernIsm|s.n.: (fără plural)|Literature||
560|4032|视角|perspectivă|perspectIvă|s.f.: perspective|Literature||
561|4034|高潮|punct culminant|pUnct culminAnt|s.n.: puncte culminante|Literature||
562|4035|结局|deznodământ|deznodămÂnt|s.n.: deznodăminte|Literature||
563|4036|独白|monolog|monolOg|s.n.: monologuri|Literature||
564|4037|对话|dialog|dialOg|s.n.: dialoguri|Literature||
565|4038|反讽|ironie|ironIe|s.f.: ironii|Literature||
566|4039|史学|istoriografie|istoriografIe|s.f.: istoriografii|History||
