Words missing example sentence (example_ro is empty)
Batch: 6
Rows: 369
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
2501|6461|宣誓|a depune jurământ|a depUne jurămÂnt|verb: conj. III (depun/depui/depune)|Law||
2502|6462|申报财产|a declara averea|a declarA avErea|verb: conj. I (declar/declari/declară)|Law||
2503|6463|背课文|a memora un text|a memorA un tExt|verb: conj. I (memorez/memorezi/memorează)|Education||
2504|6464|做笔记|a lua notițe|a luA notIțe|verb: conj. I (iau/iei/ia)|Education||
2505|6465|画图表|a face un grafic|a fAce un grAfic|verb: conj. III (fac/faci/face)|Education||
2506|6466|做实验|a face un experiment|a fAce un experimEnt|verb: conj. III (fac/faci/face)|Education||
2507|6467|写论文|a scrie o lucrare|a scrIe o lucrAre|verb: conj. III (scriu/scrii/scrie)|Education||
2508|6468|参加考试|a da un examen|a dA un exAmen|verb: conj. I (dau/dai/dă)|Education||
2509|6469|通过考试|a trece un examen|a trEce un exAmen|verb: conj. III (trec/treci/trece)|Education||
2510|6470|不及格|a pica un examen|a picA un exAmen|verb: conj. I (pic/pici/pică)|Education||
2511|6471|重考|a repeta un examen|a repetA un exAmen|verb: conj. I (repet/repeți/repetă)|Education||
2512|6472|请教老师|a întreba profesorul|a întrebA profEsorul|verb: conj. I (întreb/întrebi/întreabă)|Education||
2513|6473|课后辅导|meditații|meditAții|s.f.pl.: meditații|Education||
2514|6474|小组讨论|dezbatere în grup|dezbAtere în grUp|s.f.: dezbateri în grup|Education||
2515|6475|课堂展示|prezentare în clasă|prezentAre în clAsă|s.f.: prezentări în clasă|Education||
2516|6476|期末考试|examen final|exAmen finAl|s.n.: examene finale|Education||
2517|6477|期中考试|examen de mijloc de semestru|exAmen de mIjloc de semEstru|s.n.: examene de mijloc de semestru|Education||
2518|6478|翻开书|a deschide o carte|a deschIde o cArte|verb: conj. III (deschid/deschizi/deschide)|Literature||
2519|6479|合上书|a închide o carte|a închIde o cArte|verb: conj. III (închid/închizi/închide)|Literature||
2520|6480|翻页|a da pagina|a dA pAgina|verb: conj. I (dau/dai/dă)|Literature||
2521|6481|做书评|a recenza o carte|a recenzA o cArte|verb: conj. I (recenzez/recenzezi/recenzează)|Literature||
2522|6482|引用|a cita|a citA|verb: conj. I (citez/citezi/citează)|Literature||
2523|6483|概括|a rezuma|a rezumA|verb: conj. I (rezumez/rezumezi/rezumează)|Literature||
2524|6484|解释含义|a explica sensul|a explicA sEnsul|verb: conj. I (explic/explici/explică)|Literature||
2525|6485|分析文章|a analiza un text|a analizA un tExt|verb: conj. I (analizez/analizezi/analizează)|Literature||
2526|6486|比较作品|a compara opere|a comparA Opere|verb: conj. I (compar/compari/compară)|Literature||
2527|6487|讨论主题|a discuta tema|a discutA tEma|verb: conj. I (discut/discuți/discută)|Literature||
2528|6488|表达观点|a exprima o opinie|a exprimA o opInie|verb: conj. I (exprim/exprimi/exprimă)|Literature||
2529|6489|讲故事|a spune o poveste|a spUne o povEste|verb: conj. III (spun/spui/spune)|Literature||
2530|6490|写日记|a scrie un jurnal|a scrIe un jurnAl|verb: conj. III (scriu/scrii/scrie)|Literature||
2531|6491|写信|a scrie o scrisoare|a scrIe o scrisoAre|verb: conj. III (scriu/scrii/scrie)|Literature||
2532|6492|读报纸|a citi ziarul|a citI ziArul|verb: conj. IV (citesc/citești/citește)|Literature||
2533|6494|参观古迹|a vizita ruinele|a vizitA ruInele|verb: conj. I (vizitez/vizitezi/vizitează)|History||
